"Vendor	Name",,
"1120	Ace Cad Enterprise Co.", Ltd,
"1121	Primax Electronics", Ltd,
"1123	MGE UPS Systems",,
"1124	AMP/Tycoelectronics Corp.",,
"1127	AT&T Paradyne",,
"1128	Wieson Technologies Co.", Ltd,
"1130	Cherry GmbH",,
"1131	American Megatrends", Inc.,
"1132	Toshiba Corp.", Digital Media Equipment,
"1133	Logitech", Inc.,
"1134	Behavior Tech. Computer Corp.",,
"1135	Crystal Semiconductor",,
"1137	Philips (or NXP)",,
"1138	Chicony Electronics Co.", Ltd,
"1139	Sanyo Information Business Co.", Ltd,
"1140	Sanyo Electric Co.", Ltd,
"1141	Relisys/Teco Information System",,
"1142	AESP",,
"1143	Seagate Technology", Inc.,
"1144	Connectix Corp.",,
"1145	Advanced Peripheral Laboratories",,
"1146	Semtech Corp.",,
"1147	Silitek Corp.",,
"1148	Dell Computer Corp.",,
"1149	Kensington",,
"1150	Agere Systems", Inc. (Lucent),
"1151	Plantronics", Inc.,
"1152	Toshiba America Info. Systems", Inc.,
"1153	Zenith Data Systems",,
"1154	Kyocera Corp.",,
"1155	SGS Thomson Microelectronics",,
"1156	Specialix",,
"1157	Nokia Monitors",,
"1158	ASUS Computers", Inc.,
"1159	Stewart Connector",,
"1160	Cirque Corp.",,
"1161	Foxconn / Hon Hai",,
"1162	S-MOS Systems", Inc.,
"1164	Alps Electric Ireland", Ltd,
"1165	Integrated Technology Express", Inc.,
"1167	Eicon Tech.",,
"1168	United Microelectronics Corp.",,
"1169	Capetronic",,
"1170	Samsung SemiConductor", Inc.,
"1171	MAG Technology Co.", Ltd,
"1173	ESS Technology", Inc.,
"1174	Micron Electronics",,
"1175	Smile International",,
"1176	Capetronic (Kaohsiung) Corp.",,
"1177	Yamaha Corp.",,
"1178	Gandalf Technologies", Ltd,
"1179	Curtis Computer Products",,
"1180	Acer Advanced Labs", Inc.,
"1181	VLSI Technology",,
"1183	Compaq Computer Corp.",,
"1184	Digital Equipment Corp.",,
"1185	SystemSoft Corp.",,
"1186	FirePower Systems",,
"1187	Trident Microsystems", Inc.,
"1188	Hitachi", Ltd,
"1189	Acer Peripherals Inc. (now BenQ Corp.)",,
"1190	Nokia Display Products",,
"1191	Visioneer",,
"1192	Multivideo Labs", Inc.,
"1193	Canon", Inc.,
"1194	DaeWoo Telecom", Ltd,
"1195	Chromatic Research",,
"1196	Micro Audiometrics Corp.",,
"1197	Dooin Electronics",,
"1199	Winnov L.P.",,
"1200	Nikon Corp.",,
"1201	Pan International",,
"1203	IBM Corp.",,
"1204	Cypress Semiconductor Corp.",,
"1205	ROHM LSI Systems USA", LLC,
"1206	Hint Corp.",,
"1207	Compal Electronics", Inc.,
"1208	Seiko Epson Corp.",,
"1209	Rainbow Technologies", Inc.,
"1210	Toucan Systems", Ltd,
"1211	I-O Data Device", Inc.,
"1213	Toshiba Electronics Taiwan Corp.",,
"1214	Telia Research AB",,
"1215	TDK Corp.",,
"1217	U.S. Robotics (3Com)",,
"1218	Methode Electronics Far East PTE", Ltd,
"1219	Maxi Switch", Inc.,
"1220	Lockheed Martin Energy Research",,
"1221	Fujitsu", Ltd,
"1222	Toshiba America Electronic Components",,
"1223	Micro Macro Technologies",,
"1224	Konica Corp.",,
"1226	Lite-On Technology Corp.",,
"1227	Fuji Photo Film Co.", Ltd,
"1228	ST-Ericsson",,
"1229	Tatung Co. Of America",,
"1230	ScanLogic Corp.",,
"1231	Myson Century", Inc.,
"1232	Digi International",,
"1233	ITT Canon",,
"1234	Altec Lansing Technologies",,
"1235	VidUS", Inc.,
"1236	LSI Logic", Inc.,
"1237	Forte Technologies", Inc.,
"1238	Mentor Graphics",,
"1239	Oki Semiconductor",,
"1240	Microchip Technology", Inc.,
"1241	Holtek Semiconductor", Inc.,
"1242	Panasonic (Matsushita)",,
"1243	Hypertec Pty", Ltd,
"1244	Huan Hsin Holdings", Ltd,
"1245	Sharp Corp.",,
"1246	MindShare", Inc.,
"1247	Interlink Electronics",,
"1249	Iiyama North America", Inc.,
"1250	Exar Corp.",,
"1251	Zilog", Inc.,
"1252	ACC Microelectronics",,
"1253	Promise Technology",,
"1254	SCM Microsystems", Inc.,
"1255	Elo TouchSystems",,
"1256	Samsung Electronics Co.", Ltd,
"1257	PC-Tel", Inc.,
"1258	Brooktree Corp.",,
"1259	Northstar Systems", Inc.,
"1260	Tokyo Electron Device", Ltd,
"1261	Annabooks",,
"1263	Pacific Electronic International", Inc.,
"1264	Daewoo Electronics Co.", Ltd,
"1265	Victor Company of Japan", Ltd,
"1266	Chicony Electronics Co.", Ltd,
"1267	Elan Microelectronics Corp.",,
"1268	Harting Elektronik", Inc.,
"1269	Fujitsu-ICL Systems", Inc.,
"1270	Norand Corp.",,
"1271	Newnex Technology Corp.",,
"1272	FuturePlus Systems",,
"1273	Brother Industries", Ltd,
"1274	Dallas Semiconductor",,
"1275	Biostar Microtech International Corp.",,
"1276	Sunplus Technology Co.", Ltd,
"1277	Soliton Systems", K.K.,
"1278	PFU", Ltd,
"1279	E-CMOS Corp.",,
"1280	Siam United Hi-Tech",,
"1281	Fujikura DDK", Ltd,
"1282	Acer", Inc.,
"1283	Hitachi America", Ltd,
"1284	Hayes Microcomputer Products",,
"1286	3Com Corp.",,
"1287	Hosiden Corp.",,
"1288	Clarion Co.", Ltd,
"1289	Aztech Systems", Ltd,
"1290	Cinch Connectors",,
"1291	Cable System International",,
"1292	InnoMedia", Inc.,
"1293	Belkin Components",,
"1294	Neon Technology", Inc.,
"1295	KC Technology", Inc.,
"1296	Sejin Electron", Inc.,
"1297	N'Able (DataBook) Technologies", Inc.,
"1298	Hualon Microelectronics Corp.",,
"1299	digital-X", Inc.,
"1300	FCI Electronics",,
"1301	ACTC",,
"1302	Longwell Electronics",,
"1303	Butterfly Communications",,
"1304	EzKEY Corp.",,
"1305	Star Micronics Co.", Ltd,
"1306	WYSE Technology",,
"1307	Silicon Graphics",,
"1308	Shuttle", Inc.,
"1309	American Power Conversion",,
"1310	Scientific Atlanta", Inc.,
"1311	IO Systems (Elite Electronics)", Inc.,
"1312	Taiwan Semiconductor Manufacturing Co.",,
"1313	Airborn Connectors",,
"1314	Advanced Connectek", Inc.,
"1315	ATEN GmbH",,
"1316	Sola Electronics",,
"1317	Netchip Technology", Inc.,
"1318	Temic MHS S.A.",,
"1319	ALTRA",,
"1320	ATI Technologies", Inc.,
"1321	Aladdin Knowledge Systems",,
"1322	Crescent Heart Software",,
"1323	Tekom Technologies", Inc.,
"1324	Canon Information Systems", Inc.,
"1325	Avid Electronics Corp.",,
"1326	Standard Microsystems Corp.",,
"1327	Unicore Software", Inc.,
"1328	American Microsystems", Inc.,
"1329	Wacom Technology Corp.",,
"1330	Systech Corp.",,
"1331	Alcatel Mobile Phones",,
"1332	Motorola", Inc.,
"1333	LIH TZU Electric Co.", Ltd,
"1334	Hand Held Products (Welch Allyn", Inc.),
"1335	Inventec Corp.",,
"1336	Caldera International", Inc. (SCO),
"1337	Shyh Shiun Terminals Co.", Ltd,
"1338	PrehKeyTec GmbH",,
"1339	Global Village Communication",,
"1340	Institut of Microelectronic & Mechatronic Systems",,
"1341	Silicon Architect",,
"1342	Mobility Electronics",,
"1343	Synopsys", Inc.,
"1344	UniAccess AB",,
"1345	Sirf Technology", Inc.,
"1347	ViewSonic Corp.",,
"1348	Cristie Electronics", Ltd,
"1349	Xirlink", Inc.,
"1350	Polaroid Corp.",,
"1351	Anchor Chips", Inc.,
"1352	Tyan Computer Corp.",,
"1353	Pixera Corp.",,
"1354	Fujitsu Microelectronics", Inc.,
"1355	New Media Corp.",,
"1356	Sony Corp.",,
"1357	Try Corp.",,
"1358	Proside Corp.",,
"1359	WYSE Technology Taiwan",,
"1360	Fuji Xerox Co.", Ltd,
"1361	CompuTrend Systems", Inc.,
"1362	Philips Monitors",,
"1363	STMicroelectronics Imaging Division (VLSI Vision)",,
"1364	Dictaphone Corp.",,
"1365	ANAM S&T Co.", Ltd,
"1366	Asahi Kasei Microsystems Co.", Ltd,
"1367	ATEN International Co.", Ltd,
"1368	Truevision", Inc.,
"1369	Cadence Design Systems", Inc.,
"1370	Kenwood USA",,
"1371	KnowledgeTek", Inc.,
"1372	Proton Electronic Ind.",,
"1373	Samsung Electro-Mechanics Co.",,
"1374	CTX Opto-Electronics Corp.",,
"1375	Mustek Systems", Inc.,
"1376	Interface Corp.",,
"1377	Oasis Design", Inc.,
"1378	Telex Communications", Inc.,
"1379	Immersion Corp.",,
"1380	Kodak Digital Product Center", Japan Ltd. (formerly Chinon Industries Inc.),
"1381	Peracom Networks", Inc.,
"1382	Monterey International Corp.",,
"1383	Xyratex International", Ltd,
"1384	Quartz Ingenierie",,
"1385	SegaSoft",,
"1386	Wacom Co.", Ltd,
"1387	Decicon", Inc.,
"1388	eTEK Labs",,
"1389	EIZO Corp.",,
"1390	Elecom Co.", Ltd,
"1391	Korea Data Systems Co.", Ltd,
"1392	Epson America",,
"1393	Interex", Inc.,
"1394	Conexant Systems (Rockwell)", Inc.,
"1395	Zoran Co. Personal Media Division (Nogatech)",,
"1396	City University of Hong Kong",,
"1397	Philips Creative Display Solutions",,
"1398	BAFO/Quality Computer Accessories",,
"1399	ELSA",,
"1400	Intrinsix Corp.",,
"1401	GVC Corp.",,
"1402	Samsung Electronics America",,
"1403	Y-E Data", Inc.,
"1404	AVM GmbH",,
"1405	Shark Multimedia", Inc.,
"1406	Nintendo Co.", Ltd,
"1407	QuickShot", Ltd,
"1408	Denron", Inc.,
"1409	Racal Data Group",,
"1410	Roland Corp.",,
"1411	Padix Co.", Ltd (Rockfire),
"1412	RATOC System", Inc.,
"1413	FlashPoint Technology", Inc.,
"1414	ZyXEL Communications Corp.",,
"1415	America Kotobuki Electronics Industries", Inc.,
"1416	Sapien Design",,
"1417	Victron",,
"1418	Nohau Corp.",,
"1419	Infineon Technologies",,
"1420	In Focus Systems",,
"1421	Micrel Semiconductor",,
"1422	Tripath Technology", Inc.,
"1423	Alcor Micro Corp.",,
"1424	Omron Corp.",,
"1425	Questra Consulting",,
"1426	Powerware Corp.",,
"1427	Incite",,
"1428	Princeton Graphic Systems",,
"1429	Zoran Microelectronics", Ltd,
"1430	MicroTouch Systems", Inc.,
"1431	Trisignal Communications",,
"1432	Niigata Canotec Co.", Inc.,
"1433	Brilliance Semiconductor", Inc.,
"1434	Spectrum Signal Processing", Inc.,
"1435	Iomega Corp.",,
"1436	A-Trend Technology Co.", Ltd,
"1437	Advanced Input Devices",,
"1438	Intelligent Instrumentation",,
"1439	LaCie", Ltd,
"1440	Vetronix Corp.",,
"1441	USC Corp.",,
"1442	Fuji Film Microdevices Co.", Ltd,
"1443	ARC International",,
"1444	Ortek Technology", Inc.,
"1445	Sampo Technology Corp.",,
"1446	Cisco Systems", Inc.,
"1447	Bose Corp.",,
"1448	Spacetec IMC Corp.",,
"1449	OmniVision Technologies", Inc.,
"1450	Utilux South China", Ltd,
"1451	In-System Design",,
"1452	Apple", Inc.,
"1453	Y.C. Cable U.S.A.", Inc.,
"1454	Synopsys", Inc.,
"1455	Jing-Mold Enterprise Co.", Ltd,
"1456	Fountain Technologies", Inc.,
"1457	First International Computer", Inc.,
"1460	LG Semicon Co.", Ltd,
"1461	Dialogic Corp.",,
"1462	Proxima Corp.",,
"1463	Medianix Semiconductor", Inc.,
"1464	Agiler", Inc.,
"1465	Philips Research Laboratories",,
"1466	DigitalPersona", Inc.,
"1467	Grey Cell Systems",,
"1468	3G Green Green Globe Co.", Ltd,
"1469	RAFI GmbH & Co. KG",,
"1470	Tyco Electronics (Raychem)",,
"1471	S & S Research",,
"1472	Keil Software",,
"1473	Kawasaki Microelectronics", Inc.,
"1474	Media Phonics (Suisse) S.A.",,
"1477	Digi International", Inc.,
"1478	Qualcomm", Inc.,
"1479	Qtronix Corp.",,
"1480	Cheng Uei Precision Industry Co.", Ltd (Foxlink),
"1481	Semtech Corp.",,
"1482	Ricoh Co.", Ltd,
"1483	PowerVision Technologies", Inc.,
"1484	ELSA AG",,
"1485	Silicom", Ltd,
"1486	sci-worx GmbH",,
"1487	Sung Forn Co.", Ltd,
"1488	GE Medical Systems Lunar",,
"1489	Brainboxes", Ltd,
"1490	Wave Systems Corp.",,
"1491	Tohoku Ricoh Co.", Ltd,
"1493	Super Gate Technology Co.", Ltd,
"1494	Philips Semiconductors", CICT,
"1495	Thomas & Betts Corp.",,
"1496	Ultima Electronics Corp.",,
"1497	Axiohm Transaction Solutions",,
"1498	Microtek International", Inc.,
"1499	Sun Corp. (Suntac?)",,
"1500	Lexar Media", Inc.,
"1501	Delta Electronics", Inc.,
"1503	Silicon Vision", Inc.,
"1504	Symbol Technologies",,
"1505	Syntek Semiconductor Co.", Ltd,
"1506	ElecVision", Inc.,
"1507	Genesys Logic", Inc.,
"1508	Red Wing Corp.",,
"1509	Fuji Electric Co.", Ltd,
"1510	Keithley Instruments",,
"1512	ICC", Inc.,
"1513	Kawasaki LSI",,
"1515	FFC", Ltd,
"1516	COM21", Inc.,
"1518	Cytechinfo Inc.",,
"1519	AVB", Inc. [anko?],
"1520	Canopus Co.", Ltd,
"1521	Compass Communications",,
"1522	Dexin Corp.", Ltd,
"1523	PI Engineering", Inc.,
"1525	Unixtar Technology", Inc.,
"1526	AOC International",,
"1527	RFC Distribution(s) PTE", Ltd,
"1529	PSC Scanning", Inc.,
"1530	Siemens Telecommunications Systems", Ltd,
"1532	Harman Multimedia",,
"1533	InterAct", Inc.,
"1534	Chic Technology Corp.",,
"1535	LeCroy Corp.",,
"1536	Barco Display Systems",,
"1537	Jazz Hipster Corp.",,
"1538	Vista Imaging", Inc.,
"1539	Novatek Microelectronics Corp.",,
"1540	Jean Co.", Ltd,
"1541	Anchor C&C Co.", Ltd,
"1542	Royal Information Electronics Co.", Ltd,
"1543	Bridge Information Co.", Ltd,
"1544	Genrad Ads",,
"1545	SMK Manufacturing", Inc.,
"1546	Worthington Data Solutions", Inc.,
"1547	Solid Year",,
"1548	EEH Datalink GmbH",,
"1549	Auctor Corp.",,
"1550	Transmonde Technologies", Inc.,
"1551	Joinsoon Electronics Mfg. Co.", Ltd,
"1552	Costar Electronics", Inc.,
"1553	Totoku Electric Co.", Ltd,
"1555	TransAct Technologies", Inc.,
"1556	Bio-Rad Laboratories",,
"1557	Quabbin Wire & Cable Co.", Inc.,
"1558	Future Techno Designs PVT", Ltd,
"1559	Swiss Federal Insitute of Technology",,
"1560	MacAlly",,
"1561	Seiko Instruments", Inc.,
"1562	Veridicom International", Inc.,
"1563	Promptus Communications", Inc.,
"1564	Act Labs", Ltd,
"1565	Quatech", Inc.,
"1566	Nissei Electric Co.",,
"1568	Alaris", Inc.,
"1569	ODU-Steckverbindungssysteme GmbH & Co. KG",,
"1570	Iotech", Inc.,
"1571	Littelfuse", Inc.,
"1572	Avocent Corp.",,
"1573	TiMedia Technology Co.", Ltd,
"1574	Nippon Systems Development Co.", Ltd,
"1575	Adomax Technology Co.", Ltd,
"1576	Tasking Software", Inc.,
"1577	Zida Technologies", Ltd,
"1578	Creative Labs",,
"1579	Greatlink Electronics Taiwan", Ltd,
"1580	Institute for Information Industry",,
"1581	Taiwan Tai-Hao Enterprises Co.", Ltd,
"1582	Mainsuper Enterprises Co.", Ltd,
"1583	Sin Sheng Terminal & Machine", Inc.,
"1585	JUJO Electronics Corp.",,
"1587	Cyrix Corp.",,
"1588	Micron Technology", Inc.,
"1589	Methode Electronics", Inc.,
"1590	Sierra Imaging", Inc.,
"1592	Avision", Inc.,
"1593	Chrontel", Inc.,
"1594	Techwin Corp.",,
"1595	Taugagreining HF",,
"1596	Yamaichi Electronics Co.", Ltd (Sakura),
"1597	Fong Kai Industrial Co.", Ltd,
"1598	RealMedia Technology", Inc.,
"1599	New Technology Cable", Ltd,
"1600	Hitex Development Tools",,
"1601	Woods Industries", Inc.,
"1602	VIA Medical Corp.",,
"1604	TEAC Corp.",,
"1605	Who? Vision Systems", Inc.,
"1606	UMAX",,
"1607	Acton Research Corp.",,
"1608	Inside Out Networks",,
"1609	Weli Science Co.", Ltd,
"1611	Analog Devices", Inc. (White Mountain DSP),
"1612	Ji-Haw Industrial Co.", Ltd,
"1613	TriTech Microelectronics", Ltd,
"1614	Suyin Corp.",,
"1615	WIBU-Systems AG",,
"1616	Dynapro Systems",,
"1617	Likom Technology Sdn. Bhd.",,
"1618	Stargate Solutions", Inc.,
"1619	CNF", Inc.,
"1620	Granite Microsystems", Inc.,
"1621	Space Shuttle Hi-Tech Co.", Ltd,
"1622	Glory Mark Electronic", Ltd,
"1623	Tekcon Electronics Corp.",,
"1624	Sigma Designs", Inc.,
"1625	Aethra",,
"1626	Optoelectronics Co.", Ltd,
"1627	Tracewell Systems",,
"1630	Silicon Graphics",,
"1631	Good Way Technology Co.", Ltd & GWC technology Inc.,
"1632	TSAY-E (BVI) International", Inc.,
"1633	Hamamatsu Photonics K.K.",,
"1634	Kansai Electric Co.", Ltd,
"1635	Topmax Electronic Co.", Ltd,
"1636	ET&T Technology Co.", Ltd.,
"1637	Cypress Semiconductor",,
"1639	Aiwa Co.", Ltd,
"1640	WordWand",,
"1641	Oce' Printing Systems GmbH",,
"1642	Total Technologies", Ltd,
"1643	Linksys", Inc.,
"1645	Entrega", Inc.,
"1646	Acer Semiconductor America", Inc.,
"1647	SigmaTel", Inc.,
"1648	Sequel Imaging",,
"1650	Labtec", Inc.,
"1651	HCL",,
"1652	Key Mouse Electronic Enterprise Co.", Ltd,
"1653	DrayTek Corp.",,
"1654	Teles AG",,
"1655	Aiwa Co.", Ltd,
"1656	ACard Technology Corp.",,
"1659	Prolific Technology", Inc.,
"1660	Efficient Networks", Inc.,
"1661	Hohner Corp.",,
"1662	Intermec Technologies Corp.",,
"1663	Virata", Ltd,
"1664	Realtek Semiconductor Corp.", CPP Div. (Avance Logic),
"1665	Siemens Information and Communication Products",,
"1666	Victor Company of Japan", Ltd,
"1668	Actiontec Electronics", Inc.,
"1670	Minolta Co.", Ltd,
"1674	Pertech", Inc.,
"1675	Potrans International", Inc.,
"1678	CH Products", Inc.,
"1680	Golden Bridge Electech", Inc.,
"1683	Hagiwara Sys-Com Co.", Ltd,
"1684	Lego Group",,
"1688	Chuntex (CTX)",,
"1689	Tektronix", Inc.,
"1690	Askey Computer Corp.",,
"1691	Thomson", Inc.,
"1693	Hughes Network Systems (HNS)",,
"1694	Welcat Inc.",,
"1695	Allied Data Technologies BV",,
"1698	Topro Technology", Inc.,
"1699	Saitek PLC",,
"1700	Xiamen Doowell Electron Co.", Ltd,
"1701	Divio",,
"1703	MicroStore", Inc.,
"1704	Topaz Systems", Inc.,
"1705	Westell",,
"1706	Sysgration", Ltd,
"1708	Fujitsu Laboratories of America", Inc.,
"1709	Greatland Electronics Taiwan", Ltd,
"1710	Professional Multimedia Testing Centre",,
"1711	Harting", Inc. of North America,
"1720	Pixela Corp.",,
"1721	Alcatel Telecom",,
"1722	Smooth Cord & Connector Co.", Ltd,
"1723	EDA", Inc.,
"1724	Oki Data Corp.",,
"1725	AGFA-Gevaert NV",,
"1726	AME Optimedia Technology Co.", Ltd,
"1727	Leoco Corp.",,
"1730	Phidgets Inc. (formerly GLAB)",,
"1732	Bizlink International Corp.",,
"1733	Hagenuk", GmbH,
"1734	Infowave Software", Inc.,
"1736	SIIG", Inc.,
"1737	Taxan (Europe)", Ltd,
"1738	Newer Technology", Inc.,
"1739	Synaptics", Inc.,
"1740	Terayon Communication Systems",,
"1741	Keyspan",,
"1743	SpheronVR AG",,
"1744	LapLink", Inc.,
"1745	Daewoo Electronics Co.", Ltd,
"1747	Mitsubishi Electric Corp.",,
"1748	Cisco Systems",,
"1749	Toshiba",,
"1750	Aashima Technology B.V.",,
"1751	Network Computing Devices (NCD)",,
"1752	Technical Marketing Research", Inc.,
"1754	Phoenixtec Power Co.", Ltd,
"1755	Paradyne",,
"1756	Foxlink Image Technology Co.", Ltd,
"1758	Heisei Electronics Co.", Ltd,
"1760	Multi-Tech Systems", Inc.,
"1761	ADS Technologies", Inc.,
"1764	Alcatel Microelectronics",,
"1766	Tiger Jet Network", Inc.,
"1770	Sirius Technologies",,
"1771	PC Expert Tech. Co.", Ltd,
"1775	I.A.C. Geometrische Ingenieurs B.V.",,
"1776	T.N.C Industrial Co.", Ltd,
"1777	Opcode Systems", Inc.,
"1778	Emine Technology Co.",,
"1782	Wintrend Technology Co.", Ltd,
"1783	Wailly Technology Ltd",,
"1784	Guillemot Corp.",,
"1785	ASYST electronic d.o.o.",,
"1786	HSD S.r.L",,
"1788	Motorola Semiconductor Products Sector",,
"1789	Boston Acoustics",,
"1790	Gallant Computer", Inc.,
"1793	Supercomal Wire & Cable SDN. BHD.",,
"1795	Bvtech Industry", Inc.,
"1797	NKK Corp.",,
"1798	Ariel Corp.",,
"1799	Standard Microsystems Corp.",,
"1800	Putercom Co.", Ltd,
"1801	Silicon Systems", Ltd (SSL),
"1802	Oki Electric Industry Co.", Ltd,
"1805	Comoss Electronic Co.", Ltd,
"1806	Excel Cell Electronic Co.", Ltd,
"1808	Connect Tech", Inc.,
"1809	Magic Control Technology Corp.",,
"1811	Interval Research Corp.",,
"1812	NewMotion", Inc.,
"1815	ZNK Corp.",,
"1816	Imation Corp.",,
"1817	Tremon Enterprises Co.", Ltd,
"1819	Domain Technologies", Inc.,
"1820	Xionics Document Technologies", Inc.,
"1821	Eicon Networks Corp.",,
"1822	Ariston Technologies",,
"1827	Centillium Communications Corp.",,
"1830	Vanguard International Semiconductor-America",,
"1833	Amitm",,
"1838	Sunix Co.", Ltd,
"1839	Advanced Card Systems", Ltd,
"1841	Susteen", Inc.,
"1842	Goldfull Electronics & Telecommunications Corp.",,
"1843	ViewQuest Technologies", Inc.,
"1844	Lasat Communications A/S",,
"1845	Asuscom Network",,
"1846	Lorom Industrial Co.", Ltd,
"1848	Mad Catz", Inc.,
"1850	Chaplet Systems", Inc.,
"1851	Suncom Technologies",,
"1852	Industrial Electronic Engineers", Inc.,
"1853	Eutron S.p.a.",,
"1854	NEC", Inc.,
"1861	Syntech Information Co.", Ltd,
"1862	Onkyo Corp.",,
"1863	Labway Corp.",,
"1864	Strong Man Enterprise Co.", Ltd,
"1865	EVer Electronics Corp.",,
"1866	Ming Fortune Industry Co.", Ltd,
"1867	Polestar Tech. Corp.",,
"1868	C-C-C Group PLC",,
"1869	Micronas GmbH",,
"1870	Digital Stream Corp.",,
"1877	Aureal Semiconductor",,
"1879	Network Technologies", Inc.,
"1883	Sophisticated Circuits", Inc.,
"1891	Midiman",,
"1892	Cyber Power System", Inc.,
"1893	X-Rite", Inc.,
"1894	Jess-Link Products Co.", Ltd,
"1895	Tokheim Corp.",,
"1896	Camtel Technology Corp.",,
"1897	Surecom Technology Corp.",,
"1898	Smart Technology Enablers", Inc.,
"1899	OmniKey AG",,
"1900	Partner Tech",,
"1901	Denso Corp.",,
"1902	Kuan Tech Enterprise Co.", Ltd,
"1903	Jhen Vei Electronic Co.", Ltd,
"1904	Welch Allyn", Inc - Medical Division,
"1905	Observator Instruments BV",,
"1906	Your data Our Care",,
"1908	AmTRAN Technology Co.", Ltd,
"1909	Longshine Electronics Corp.",,
"1910	Inalways Corp.",,
"1911	Comda Enterprise Corp.",,
"1912	Volex", Inc.,
"1913	Fairchild Semiconductor",,
"1914	Sankyo Seiki Mfg. Co.", Ltd,
"1915	Linksys",,
"1916	Forward Electronics Co.", Ltd,
"1917	Griffin Technology",,
"1919	Well Excellent & Most Corp.",,
"1920	Sagem Monetel GmbH",,
"1921	SanDisk Corp.",,
"1922	Trackerball",,
"1923	C3PO",,
"1924	Vivitar", Inc.,
"1925	NTT-ME",,
"1929	Logitec Corp.",,
